epoch (ms),time (10:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1592533086896,2020-06-19T12.18.06.896,7.338,-0.000128875,-0.000177688,-0.000288063
1592533086935,2020-06-19T12.18.06.935,7.377,-0.000127813,-0.000180188,-0.000279313
1592533086976,2020-06-19T12.18.06.976,7.418,-0.000128875,-0.000180563,-0.000275500
1592533087016,2020-06-19T12.18.07.016,7.458,-0.000129625,-0.000180188,-0.000275125
1592533087057,2020-06-19T12.18.07.057,7.499,-0.000131063,-0.000176250,-0.000279688
1592533087096,2020-06-19T12.18.07.096,7.538,-0.000130688,-0.000176563,-0.000280063
1592533087137,2020-06-19T12.18.07.137,7.579,-0.000130313,-0.000176625,-0.000281625
1592533087178,2020-06-19T12.18.07.178,7.620,-0.000132500,-0.000177313,-0.000282750
1592533087218,2020-06-19T12.18.07.218,7.660,-0.000132500,-0.000176625,-0.000283188
1592533087259,2020-06-19T12.18.07.259,7.701,-0.000132875,-0.000176563,-0.000283875
1592533087299,2020-06-19T12.18.07.299,7.741,-0.000131750,-0.000176250,-0.000284688
1592533087340,2020-06-19T12.18.07.340,7.782,-0.000131438,-0.000175875,-0.000283625
1592533087379,2020-06-19T12.18.07.379,7.821,-0.000131750,-0.000177688,-0.000283188
1592533087420,2020-06-19T12.18.07.420,7.862,-0.000132500,-0.000176250,-0.000284313
1592533087460,2020-06-19T12.18.07.460,7.902,-0.000132500,-0.000178063,-0.000283188
1592533087501,2020-06-19T12.18.07.501,7.943,-0.000132125,-0.000176625,-0.000283563
1592533087540,2020-06-19T12.18.07.540,7.982,-0.000132500,-0.000175875,-0.000284250
1592533087581,2020-06-19T12.18.07.581,8.023,-0.000131750,-0.000176250,-0.000284313
1592533087621,2020-06-19T12.18.07.621,8.063,-0.000132125,-0.000176625,-0.000283563
1592533087662,2020-06-19T12.18.07.662,8.104,-0.000131750,-0.000177313,-0.000284688
1592533087701,2020-06-19T12.18.07.701,8.143,-0.000131750,-0.000175500,-0.000284313
1592533087742,2020-06-19T12.18.07.742,8.184,-0.000132125,-0.000177313,-0.000283563
1592533087782,2020-06-19T12.18.07.782,8.224,-0.000133563,-0.000175875,-0.000283188
